,Batch size,Learning rate,Weight decay,Validation Accuracy,Validation F1 Score,Training Accuracy,Training F1 Score
0,32,0.01,0.01,0.017811704834605598,0.00020833333333333332,0.008208321539767903,0.006246638330147598
1,32,0.01,0.001,0.017811704834605598,0.00020833333333333332,0.008208321539767903,0.006476352311769391
2,32,0.01,0.0005,0.017811704834605598,0.00020833333333333332,0.007925275969431078,0.005914199162586893
3,32,0.01,0.0001,0.017811704834605598,0.00020833333333333332,0.0093405038211152,0.00785125526167199
4,32,0.01,5e-05,0.017811704834605598,0.00020833333333333332,0.008208321539767903,0.00629278896111952
5,32,0.01,1e-05,0.017811704834605598,0.00020833333333333332,0.009057458250778375,0.006511581773397298
6,32,0.001,0.01,0.035623409669211195,0.010108341929391992,0.022926691197282762,0.01236293161288217
7,32,0.001,0.001,0.06615776081424936,0.023628260823536015,0.043872063402207756,0.029370951974843518
8,32,0.001,0.0005,0.035623409669211195,0.012604655388725537,0.025191055759977356,0.017201333754841036
9,32,0.001,0.0001,0.058524173027989825,0.020928113481140504,0.02943673931502972,0.020199418398369525
10,32,0.001,5e-05,0.05597964376590331,0.02056619448209478,0.03198414944806114,0.021437660852961598
11,32,0.001,1e-05,0.04580152671755725,0.017951396708622145,0.03283328615907161,0.0227297142911553
12,32,0.0005,0.01,0.24427480916030533,0.1821044421044421,0.632889895273139,0.6394899031890475
13,32,0.0005,0.001,0.2035623409669211,0.1462418273893684,0.6286442117180866,0.6378540619605816
14,32,0.0005,0.0005,0.24681933842239187,0.17711501214175013,0.6040192470987829,0.6052431446740346
15,32,0.0005,0.0001,0.22391857506361323,0.16309628123091474,0.6079818850834985,0.6120773839939752
16,32,0.0005,5e-05,0.22900763358778625,0.1828629777827639,0.6484574016416643,0.6477506301445835
17,32,0.0005,1e-05,0.22900763358778625,0.1828629777827639,0.6484574016416643,0.6477506301445835
18,32,0.0001,0.01,0.26717557251908397,0.18880155702230686,0.5148598924426833,0.5054550065801126
19,32,0.0001,0.001,0.26208651399491095,0.19542962846884418,0.5174073025757147,0.5074244322495612
20,32,0.0001,0.0005,0.26208651399491095,0.1854867664923531,0.5100481177469572,0.49682404462280105
21,32,0.0001,0.0001,0.2544529262086514,0.18582898080180693,0.5134446645909991,0.5033914427506498
22,32,0.0001,5e-05,0.2544529262086514,0.18582898080180693,0.5134446645909991,0.5033914427506498
23,32,0.0001,1e-05,0.2544529262086514,0.18582898080180693,0.5134446645909991,0.5033914427506498
24,32,5e-05,0.01,0.21374045801526717,0.1439457810966191,0.3025757146900651,0.25973482784628193
25,32,5e-05,0.001,0.2035623409669211,0.1431680048346715,0.30370789697141237,0.25960700237349
26,32,5e-05,0.0005,0.20865139949109415,0.15123842207175542,0.3048400792527597,0.2627898116770237
27,32,5e-05,0.0001,0.20865139949109415,0.15123842207175542,0.3048400792527597,0.2627898116770237
28,32,5e-05,5e-05,0.20865139949109415,0.15123842207175542,0.3048400792527597,0.2627898116770237
29,32,5e-05,1e-05,0.20865139949109415,0.15123842207175542,0.3048400792527597,0.2627898116770237
30,32,1e-05,0.01,0.061068702290076333,0.023399820946656134,0.06453439003679592,0.03484162363613975
31,32,1e-05,0.001,0.061068702290076333,0.02344680493923195,0.06453439003679592,0.03524443392567597
32,32,1e-05,0.0005,0.061068702290076333,0.02344680493923195,0.06453439003679592,0.03524443392567597
33,32,1e-05,0.0001,0.061068702290076333,0.02344680493923195,0.06453439003679592,0.03524443392567597
34,32,1e-05,5e-05,0.061068702290076333,0.02344680493923195,0.06453439003679592,0.03524443392567597
35,32,1e-05,1e-05,0.061068702290076333,0.02344680493923195,0.06453439003679592,0.03524443392567597
